"","x1932y121z96","x1139y160z304","x1449y159z82","x1824y183z394","x1573y378z239","x1732y415z262","x2132y436z110","x1302y453z138","x2073y487z112","x1403y489z93","x1465y516z204","x1825y521z231","x1992y557z1310","x2166y530z140","x2085y559z247","x1717y558z342","x1911y564z225","x1207y603z229","x1155y600z213","x1414y614z116","x1464y108z162","x1766y120z157","x1207y124z122","x1719y257z195","x1099y337z52","x1273y345z173","x1714y351z237","x1361y519z192","x1187y519z129","x1261y540z160","x2148y31z396","x1948y69z163","x1444y207z128","x1484y474z64","x1069y112z75","x1895y521z74","x2081y166z239"
"1",96,304,82,394,239,262,110,138,112,93,204,231,1310,140,247,342,225,229,213,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",96,252,120,431,249,271,144,188,100,113,231,300,1260,159,270,354,240,294,245,139,162,157,122,195,52,173,237,192,129,160,NA,NA,NA,NA,NA,NA,NA
"3",132,309,154,517,316,304,150,212,136,117,250,326,1239,162,310,396,274,300,244,154,208,200,154,251,68,191,292,204,114,162,396,163,NA,NA,NA,NA,NA
"4",147,306,192,559,328,318,199,239,144,116,291,372,1288,163,302,424,260,295,246,159,209,191,148,250,86,271,300,247,123,156,302,201,128,64,NA,NA,NA
"5",165,342,208,634,357,358,164,286,165,124,310,391,1332,167,319,466,279,271,280,164,251,251,167,310,98,294,350,260,125,172,368,206,154,78,75,74,NA
"6",156,338,244,649,352,421,180,280,149,138,395,419,1302,172,287,476,283,278,304,164,248,237,173,270,137,338,332,278,131,185,285,250,171,69,70,104,NA
"7",193,410,270,728,418,554,186,330,165,167,425,518,1400,174,339,559,313,307,313,174,300,307,209,351,154,384,424,321,136,202,370,298,221,87,93,107,NA
"8",175,374,284,739,400,509,225,343,162,166,462,537,1332,197,314,541,305,335,340,175,315,285,191,320,149,442,411,349,156,216,312,304,201,77,71,149,NA
"9",181,404,297,798,423,544,226,365,174,172,482,564,1388,204,331,573,347,344,371,194,335,323,204,346,164,496,426,382,179,222,306,311,224,80,78,165,NA
"10",200,429,366,843,482,635,249,388,195,183,521,655,1435,213,348,620,369,384,378,217,376,380,216,407,174,531,454,429,163,231,348,310,254,86,81,175,NA
"11",221,473,442,882,531,695,234,434,221,197,599,758,1487,220,367,667,402,423,430,240,410,455,239,451,216,572,476,507,177,255,362,367,299,92,84,227,NA
"12",232,509,440,937,541,708,280,450,228,198,642,803,1515,223,382,698,409,438,448,251,431,465,248,442,209,556,488,547,215,275,323,369,314,90,82,223,239
"13",243,555,501,1017,579,775,307,456,248,203,679,877,1535,236,392,755,439,464,471,293,463,540,268,496,232,557,489,619,257,280,358,431,341,101,76,253,309
"14",255,601,548,1077,609,731,346,485,276,205,749,955,1569,250,406,798,460,486,502,335,510,585,287,490,279,546,554,690,270,295,304,482,363,101,73,267,329
"15",272,664,578,1050,661,872,347,486,270,215,800,1391,1600,240,424,849,487,513,569,356,564,619,320,544,311,546,609,770,289,319,321,525,398,103,81,303,354
"16",273,711,662,1119,705,924,391,473,292,227,850,1472,1511,265,434,897,516,577,553,392,584,626,338,551,361,563,655,821,321,328,305,559,400,101,72,354,398
"17",321,746,741,1114,774,1023,386,505,342,240,873,1581,1637,277,461,951,585,615,582,426,667,737,379,619,367,651,714,890,335,338,362,592,435,102,84,383,433
"18",341,812,808,1163,838,1116,434,520,375,289,919,1700,1603,310,483,1026,620,653,609,471,746,803,380,633,387,632,762,988,350,334,375,619,466,104,82,400,502
"19",326,856,866,1189,1171,1184,471,503,376,283,942,1830,1648,321,492,1082,636,645,682,502,802,837,424,635,453,731,820,1113,397,359,359,653,457,102,74,430,510
"20",325,927,882,1293,1241,1240,544,468,553,304,872,1979,1478,322,489,1182,636,659,640,528,812,863,459,612,509,776,799,1426,428,340,313,730,453,114,61,445,516
"21",369,961,951,1288,1265,1344,524,512,579,313,1036,2057,1657,349,522,1270,690,736,751,601,855,1000,497,649,505,793,842,1535,497,373,379,775,498,103,84,489,599
"22",365,1028,1032,1230,1322,1426,625,493,633,304,1063,NA,1693,379,513,1297,655,791,763,657,872,1048,511,631,668,849,1002,1672,585,380,321,829,516,99,83,514,661
"23",357,1121,1023,NA,1431,1466,679,461,NA,329,1096,NA,1678,362,NA,1439,682,796,750,655,971,1124,549,637,716,NA,1042,1665,633,353,314,866,442,104,77,523,662
"24",358,1190,1108,NA,1632,1568,761,488,NA,NA,1157,NA,1834,418,NA,1499,719,873,847,788,1013,NA,559,NA,765,NA,1124,2150,709,423,306,922,477,98,74,567,750
"25",359,1272,1191,NA,1695,1703,835,473,NA,NA,1229,NA,1863,446,NA,1587,728,923,812,879,1098,NA,621,NA,869,NA,1207,2077,797,423,323,1010,461,105,76,600,820
"26",361,1362,NA,NA,1758,NA,894,466,NA,NA,1273,NA,1908,465,NA,1641,753,966,841,962,NA,NA,655,NA,977,NA,NA,2078,825,445,301,1091,NA,102,72,633,891
"27",393,1336,NA,NA,1748,NA,854,499,NA,NA,NA,NA,2010,508,NA,1661,818,1002,960,1054,NA,NA,705,NA,1017,NA,NA,NA,841,463,394,1147,NA,101,78,676,902
